address,phones,email,website
"C/ Alcaldesa Mª Regla Jiménez, 4241807 Espartinas, Sevilla",955710495,,https://www.frutasmora.es/
"C/Longitudinal 9, número 57508040 Barcelona (Ciudad), Barcelona",935195222,info@naturalfruits.es,https://www.naturalfruits.es/
"valencia46002 Valencia (Ciudad), Valencia",617981338,Pedidos@delhorta.net,https://delhorta.net/
"46760 Tavernes de la Valldigna, Valencia",902052033,info@ponsredondogroup.com,https://penicilinafruits.com/
"C/ Escritor Julio Balbas 1229140 Churriana, Málaga",952621757,administracion@frutasramirez.com,https://frutasramirez.es/
"C/ O Plind Ciudad Transporte Valle De Elorz Noain31110 Noáin (Valle de Elorz)/Noain (Elortzibar), Navarra",948314265,frutnavar@frutnavar.com,https://frutnavar.com/
"C/ Soto 2031261 Andosilla, Navarra",948930888,info@frigorificosfalcon.es,http://frigorificosfalcon.es/
"C/ San Miguel Sin31251 Larraga, Navarra",948711520,carlos@radvihortalizas.com,https://radvihortalizas.com/
"C/ Paulino Caballero 2331003 Pamplona/Iruña, Navarra",948151096,comercial@arofa.com,https://arofa.com/
"C/ Can Gabriel Parroquia De San Miguel07240 Sant Joan, Islas Baleares",971334640,info@misterchippy.com,https://www.misterchippy.com/es/
"C/ Sera Alta 1107714 Palma de Mallorca, Islas Baleares",971369521,agroilla@agroilla.com,https://www.agroilla.com/?lang=es
"C/ Gallinero26250 Santo Domingo de la Calzada, La Rioja",941341582,info@cooperativagaru.com,http://www.cooperativagaru.com/
"C/ Senda De La Morera 1230170 Mula, Murcia",968664537,comercial@hortiquality.com,https://hortiquality.com/
"Edificio Mercovasa - Cm Del Mar46540 Valencia (Ciudad), Valencia",961472529,info@mercovasa.com,https://www.mercovasa.com/
"Ctra. Nacional 340 Km 2111140 Conil de la Frontera, Cádiz",956440835,info@coagrico.com,https://www.coagrico.com/
"Pº Lucas Mallada 4222006 Huesca (Ciudad), Huesca",974223300,info@cabreroehijos.es,https://www.cabreroehijos.es/
"Ctra. Talayuela10300 Navalmoral de la Mata, Cáceres",927415300,,https://mundifrut.com/
"CTRA. MADRID KM.4 MERCALICANTE NAVE MULTISERVICIO 11 Y 1203006 Madrid (Ciudad), Madrid",965104977,comercial@alichampi.com,https://alichampi.com/
"Ctra. de Guadiana, Km. 0.840000 Valdelacalzada, Badajoz",924446186,cabanifrut@cabanifrut.es,https://www.caver.es/
"Calle Central 2830815 Sanlúcar de Barrameda, Cádiz",956387242,info@vrocio.com,https://www.vrocio.com/
"Ctra. de Onda, s/n12540 Villarreal/Vila-Real, Castellón",964506310,recepcion@frutinter.com,https://frutinter.com/
"Cuesta de La Pila, s/n Apdo. de Correos 3821800 Moguer, Huelva",959372335,sales@grufesa.com,https://grufesa.com/
"Virgen de Montiel, 3150000 Murcia (Ciudad), Murcia",964104858,comunicacion@idainature.com,https://www.idainature.com/
"C/ Espanta, 4 - 5ºA47008 Valladolid (Ciudad), Valladolid",619557432,info@idealfruits.es,https://idealfruits.es/
"Camino de Montemayor, s/n21800 Moguer, Huelva",,comercial2@cunadeplatero.com,https://www.cunadeplatero.com/
"Paraje El Canadillar04640 Pulpí, Almería",950619343,comercial@ngsystem.com,https://ngsystem.com/
"P.E Mirador del Odiel. C/ Lentisco s/n Portal 3, Of.17 (Avd. Francisco Montenegro)21001 Huelva (Ciudad), Huelva",959540844,administracion@onubafruit.com,https://www.onubafruit.com/
"Hacienda La Jarilla, APD. 4741300 San Jose de la Rinconada, Sevilla",954791511,stonefruit@royal.es,https://royal.es/
"Collao nº 23846001 Chiva, Valencia",962521814,ventas@sanifruit.com,https://sanifruit.com/
"Serra Llarga, 2446530 Valencia (Ciudad), Valencia",961424040,tanja.kerst@sanlucar.com,https://sanlucar.com/
"Avda. del Golf, 5, 1º-D30506 Murcia (Ciudad), Murcia",968604736,webmaster@sdcfruits.es,https://www.sdcfruits.es/es/
"Pol. Ind. Matalagrana, s/n21730 Almonte, Huelva",959451550,admin@surexport.es,https://www.surexport.es/es/
"Pol. Ind. Outeda-Curro, Parc A-0236692 Barro, Pontevedra",902006975,administracion@tcfruits.com,https://tcfruits.com/
"Avda. de la Innovación, 15, Edificio Pitágoras, 2ª planta, áreas C-D04131 Almería (Ciudad), Almería",950181500,info@unicagroup.es,https://unicagroup.es/
"Avda. de Santa Clara, s/n30800 Lorca, Murcia",0034610381783,info@vasaki.es,https://vasakiiberica.com/
"Camino las Hesillas, s/n06840 Alange, Badajoz",,alanfruit@alanfruit.com,https://alanfruits.es/
"Paraje La Redonda04710 El Ejido, Almería",950580800,comunicacion@launioncorp.com,https://launioncorp.com/
"C/ K, 1- Pol. Puente Alto03316 Orihuela, Alicante",0034661888774,sales@amafruits.com,https://amafruits.com/
"Pol. Ind. El Collet Parcela 301-30512580 Benicarló, Castellón",670639759,coop@benihort.com,https://benihort.com/
"Avda. Levante UD 28 A-1746025 Valencia (Ciudad), Valencia",963911591,agrofresh@agrofresh.es,https://www.agrofresh.es/
"Calle Fuentes, 5621070 Lepe, Huelva",959504454,comunicacion@plusberries.com,https://www.plusberries.com/
"Mercabilbao, 301-305-43048970  Basauri (Vizcaya), Vizcaya",944485225,,http://www.frutasyverduras.com/
"Carrera d'En Corts, 231 Valencia (Ciudad), Valencia",963674815,contacto@fruilomar.com,http://www.fruilomar.com/
"Puestos 510-512 MercaBilbao48970  Basauri (Vizcaya), Vizcaya",946404060,info@frutasalexysoler.com,https://frutasalexysoler.com/
"Mercabilbao Puestos 20248970  Basauri (Vizcaya), Vizcaya",944485300,comercial@frutasolmos.com,https://frutasolmos.net/
"Plaza de Rey, 8 - Edificio Real30201 Cartagena, Murcia",968120776,comercial@difrusaexport.com,https://difrusaexport.com/
"Pol. Ind. Estruch; C/ Sis, 108820  Prat de Llobregat (El), Barcelona",932626600,info@cmrgroup.es,https://cmrgroup.es/
"Paraje Casa Lugar Nuevo, 6530739 Murcia (Ciudad), Murcia",968173201,agromark@agromark.es,https://agromark.es/
"C/Argentina 2 Nave B-1 28806 Alcalá de Henares, Madrid",918020296,frutasanita@frutasanita.com,https://frutasanita.com/
"Travesía de Roca, 1-3  46134 Foios, Valencia",961491106,ventas@vicenteperis.com,https://www.vicenteperis.com/
"Carrer Longitudinal 7, 708040 Barcelona (Ciudad), Barcelona",932626669,,https://www.frutasjhernandez.com/
"Pol.  alto de villalbilla avda Valladolid S/N....09001 Burgos (Ciudad), Burgos",947043400,info@frutopiaencasa.com,https://www.frutopiaencasa.com/
"Portichuelo - Cástaras18400 Órgiva, Granada",678444265,fralpujarra@gmail.com,https://frutosrojosdelaalpujarra.com/
"CTRA DE LAS PLANAS KM817150 Sant Gregori, Girona","972507119,647367869",comercial@fredjove.es,https://www.fredjove.es/
"Longitudinal, 9 Parcela 105 (Mercabarna)80400 Barcelona (Ciudad), Barcelona",932620607,juliosanz@colofruit.com,http://www.colofruit.com/
"Mercamadrid,  parcela b8, nave 1028053 Madrid (Ciudad), Madrid","917866490,917868972",soporte@frutaseloy.com,https://frutaseloy.com/
"Calle Eje 1-6 nave plátanos nº6 posterior28018 Madrid (Ciudad), Madrid",918167904,comercial@frutasgisbert.com,https://frutasgisbert.com/
"Ctra. Villaverde -Vallecas Km. 3,80028053 Madrid (Ciudad), Madrid",917860790,info@casanoya.es,https://casanoya.es/
"Avenida Salobreña, 6018600 Motril, Granada",958823170,fvazquezjr@hotmail.es,https://frutasvazquez.com/
"Calle Drago Centro Comercial HLS Local 638660 Adeje, Tenerife",922712545,administracion@comercialgorrin.es,https://www.comercialgorrin.es/
"Avenida Tesalónica, s/n,Polígono Industrial Promisa, nave 12941007  Sevilla (Ciudad), Sevilla","954675695,954255464",info@servifrutadelsur.com,https://servifrutadelsur.es/
"Pol. Ind. Torres03570 Villajoyosa/La Vila Joiosa, Alicante",965895820,compras@frutasnavalon.com,https://www.frutasnavalon.com/
"Calle Zagreb, Nº 13. Pol. Ind. Cabezo Beaza30395 Cartagena, Murcia",968321620,hortiberia@hortiberia.es,https://hortiberia.es/
"AVDA EL ALTILLO S/N, PROXINAVES 611405 Jerez de la Frontera, Cádiz",,info@flomfresh.com,
"Barrio Barrondo. Pol. Ind. Ugarte. Nave B1548480 Zaratamo, Vizcaya",628311429,rluzuriaga@frutaszelaia.com,
"Passeo Maragall 265 3/108032 Barcelona (Ciudad), Barcelona",34632602194,,
"Passeig Pere III 30 08241 Manresa, Barcelona",655308497,alejandra@laverida.es,
"C/Monte Esquinzo 2628010 Madrid (Ciudad), Madrid",628839830,marketing@harbestmarket.com,
"Calabozos 13, Nave 3-4,28108 Moraleja de Enmedio, Madrid",918615282,info@saludpro.es,
"calle 10 de abril número 213220 Llanos del Caudillo, Ciudad Real",686484325,,
"C/ Carretas, 4228670 Villaviciosa de Odón, Madrid","618695292,916342877",oceaniabioseleccion@gmail.com,
"Camino de la Carrera, 528140 Fuente El Saz de Jarama, Madrid",916203456,pedidos@frumonsa.com,
"CALLE NOLLA Nº643201 Reus, Tarragona",977537700,oainternationalfood@gmail.com,
"Avda. Dr. Pedro Guillen, 530100 Murcia (Ciudad), Murcia",620259238,optima@optima.es,
"Mercamadrid, Nave C28053 Madrid (Ciudad), Madrid",917855416,info@frutascandil.com,https://frutascandil.com/
"ISABEL COLLBRAND 1028050 Madrid (Ciudad), Madrid","674284516,674284516",grulota@gmail.com,
"carrer de Girona,10608009 Barcelona (Ciudad), Barcelona",932657275,,
"Calle Ricardo Arregui, N 3, bajo D48007 Bilbao, Vizcaya",644735261,thebatfruits@gmail.com,https://thebatfruits.wixsite.com/thebatfruits
"avda andalucia n9 bis28342 Valdemoro, Madrid",653439584,chusy_88@hotmail.com,
"calle colegio,1930110 Murcia (Ciudad), Murcia",606911452,pacogonzalvez@hotmail.com,
"calle colegio,1930110 Murcia (Ciudad), Murcia",606911452,titesfrutas@hotmail.com,
"Autovía Sevilla Málaga, Km 141020 Sevilla (Ciudad), Sevilla",629691664,frutasibanezvalera@gmail.com,
"Autovía Sevilla Málaga, Km 141020 Sevilla (Ciudad), Sevilla",629691664,,
"Polígono Industrial El Caballo28890 Loeches, Madrid",918851415,informacion@carali.org,
"JuanBravo 3A28006 Madrid (Ciudad), Madrid","673723294,911265074",infonaranjasmadrid@gmail.com,
"Calle la Era, 1, San Cristobal de La Laguna38203 Santa Cruz de Tenerife, Tenerife",671226831,saludparallevar@gmail.com,
"Calle La Plaza nr 1021594 Granado (El), Huelva",656365854,pesgimar14@gmail.com,
"Santa Coloma de Gramenet08921 Barcelona (Ciudad), Barcelona",610639280,frutasdominguez2004@gmail.com,
"C/ Borrell 23  Local08202 Sabadell, Barcelona",931371117,,
"Mercamadrid Nave C Puestos 13-1528053 Madrid (Ciudad), Madrid",,alozarsl@hotmail.com,
"Pol. Ind. Azucarera26500 Calahorra, La Rioja",941132003,info@frutas-solano.com,https://frutas-solano.com/
"C/ Arquimedes 1933211 Gijón, Asturias",985307091,fvictor@frutasvictor.com,https://www.frutasvictor.com/
"Carretera de Valladolid, Km 14840200 Cuéllar, Segovia",921141856,info@verdurastabuenca.com,https://www.verdurastabuenca.com/es/
"Avda. de Nules, 92 Burriana, Castellón",0034964577130,,http://www.gustavoferrada.com/
"Mercamadrid Parcela H 2-928000 Madrid (Ciudad), Madrid",915076200,magui.martin@fruitiere.es,https://www.compagniefruitiere.fr/
"Plaza del Rey, 8, Edif. Real30201 Cartagena, Murcia",968125185,gerencia@difrusaexport.com,https://difrusaexport.com/
"Camino de la Cocola, s/n. Pol. Ind. San Jorge21810 Palos de la Frontera, Huelva",959656020,tienda@fresondepalos.es,https://www.fresondepalos.es/
"Plataforma Baja, Parcela B 3.3, Mercamadrid28000 Madrid (Ciudad), Madrid",902485000,logisticapdp@eurobanan.com,https://eurobanan.com/
"Longitudinal, 9 nº 9108040 Barcelona (Ciudad), Barcelona",607292265,gavagrup@gavagrup.com,https://gavagrup.com/
"Pont de L'Arca, 346000 Canals, Valencia",687891249,administracion@madremia.es,https://madremia.es/
"C/Mayor de Mercabarna 75 Despacho 708040 Barcelona (Ciudad), Barcelona",932626548,iberica@savasunfreshgroup-iberica.es,https://www.staayfoodgroup.com/
"La Parra, 5304700 El Ejido, Almería",950489105,agroejido@agroejido.com,http://www.agroejido.net/
"Cartagena, 8 Bajo30070 Totana, Murcia",,anna@agrorizao.com,http://www.agrorizao.com/
"Carretera d’En Corts, 23146013  Valencia (Ciudad), Valencia",963672285,,https://www.velazquez-fruits.com/
"Calle Ana Nebot López, 4 12540  Villarreal/Vila-Real, Castellón",964520849,info@benjaminbeltran.com,https://www.benjaminbeltran.com/
"polígono Industrial Mercabilbao48970  Basauri (Vizcaya), Vizcaya",944485345,comercial@bilfruta.com,https://bilfruta.com/
"POLIGONO INDUSTRIAL S/N EL EJIDO29720 El Ejido, Almería",635458894,espefrut@hotmail.com,https://www.espefrut.net/
"Carrer de la Teixidora, 68,  (Pol Industrial Hortes Ci Ral) 08302 Mataró, Barcelona",937992603,info@sensat.cat,
"Longitudinal 9 - no91 MERCABARNA ZAC08040  Barcelona (Ciudad), Barcelona",932633015,gavagrup@gavagrup.com,https://gavagrup.com/
"Camino son fogo07520 Petra, Islas Baleares",618328247,lluis_grimalt96@me.com,
"C/ Lavatorio, nº18, entlo 2-B03300 Orihuela, Alicante",966344354,info@grupo-proa.es,
"Monastir de la valldigna 22,2 p446760 Tavernes de la Valldigna, Valencia",634576004,ifruitsnaranja@gmail.com,
"C/Mallorca,56708026 Barcelona (Ciudad), Barcelona",631306779,,
"mayor 23 3 i20120 Hernani, Guipúzcoa",609035868,info@telehuerta.com,
"Calle Camarena, 235 Almacenes 38-62-61-5828047 Madrid (Ciudad), Madrid","915098594,610744735",bernimabe@yahoo.es,https://www.frutasyverdurasbernimabel.com/
"Mercagranada, nave 218010  Granada (Ciudad), Granada",958276773,frutasjorama@hotmail.com,https://www.frutasjorama.es/
"MARTIN ALONSO PINZON, 6521810 Palos de la Frontera, Huelva",616189140,josealza@msn.com,
"Calle Virgen de Montiel  1346980 Valencia (Ciudad), Valencia",644314469,latifgauss25@msn.com,
"Calle Colonia, 9. Polígono Industrial La Redonda04700 El Ejido, Almería",683578806,info@frutastanaopedidos.es,
"Castillo de Coca 28037 Madrid (Ciudad), Madrid",670486986,pepidelacruzredondo@hotmail.com,
"Calle Rafael Beca Mateos 3441007 Sevilla (Ciudad), Sevilla",636673132,frutasyverdurascuevas@gmail.com,
"c/salvador 911500 Puerto de Santa María (El), Cádiz",652126732,infoisga2023@gmail.com,
"Av. Segle XXI, 5208840  Viladecans, Barcelona",,vilax@soulblim.com,
"Calle estilo 720036 Getafe, Madrid",683561231,mikel@grupofoodservice.com,
"Almería 04720 Aguadulce (Almería), Almería",672796451,forsaningenieros@gmail.com,
"C/ Francisco Cascales Nº 2030710 Alcázares (Los), Murcia",968173341,info@guiverfruits.es,
"Francesc Morgas08241 Sant Joan de Vilatorrada, Barcelona",684463750,milagros@laverida.es,
"C/Caballeros 5 1A 22480 Capella, Huesca",624254245,mostafazaragoza11@yahoo.es,
"Carretera Calpe a Moraira,Complejos Los Biblos,Loc03710 Calpe / Calp, Alicante",,bestfruver@gmail.com,
"Tirso Molina 22  Sabadell08203 Sabadell, Barcelona",,export@lozanojimenez.com,
"Almonacid de Zorita19118 Almonacid de Zorita, Guadalajara",635615312,frumoverchi@gmail.com,
"Sevilla41010 Sevilla (Ciudad), Sevilla",638257067,fruverd.trade.sl@gmail.com,
"Calle La Paz, 16, 4ºC, Torrevieja, Alicante",639747062,info@agrosureste.es,
"calle congosto ·# 2528031 Madrid (Ciudad), Madrid",656553134,fruteriacongosto@hotmail.com,
"Finca monteluna polígono 28 par. 003621040 Cartaya, Huelva",652596266,deto_24@hotmail.com,
"Archiduque carlos 44 Valencia (Ciudad), Valencia",617981338,import-export@groupsm.es,
"3 Av.Circunvalación18230 Atarfe, Granada","633426362,958148053",frutodelatierra1@gmail.com,
"Calle de la Vega28560 Madrid (Ciudad), Madrid",913052857,info@vegacarabana.es,
"CALLE VIA APIA Nº2741089 Dos Hermanas, Sevilla","955690985,686405904",lanavepedidos@gmail.com,
"Zona Residencial Río Gulf, 3,21819 Palos de la Frontera, Huelva",619440039,jorgeruber@gmail.com,
"Calle La Fuente 2406715 Rena, Badajoz",658592440,agroejecucion@gmail.com,
"POL. IND. LA CERRAJERA - MDO. MAYORISTAS PTOS. 2, 3 Y 1716003 Cuenca (Ciudad), Cuenca",635117285,frutashernaizhijos@hotmail.es,
"Mazagon21130 Huelva (Ciudad), Huelva",675889000,mr_guigman18@hotmail.com,
"Martin Alonso Pinzon, 3021810 Palos de la Frontera, Huelva",,administracion@fresanguiri.com,
"CALLE MONESTIR DE POBLET, 15, PUERTA 4012540 Villarreal/Vila-Real, Castellón","695960366,642470550",njunior@allbusinesscommerce.com,
"Juan de la cosa, 3721810 Huelva (Ciudad), Huelva",,Jjrodri2@hotmail.com,
"Muntaner 33008021 Barcelona (Ciudad), Barcelona","932092316,932097110",karleslara@gmail.com,
"C/ Puigcerdá, 20608019 Barcelona (Ciudad), Barcelona",,pedidos@vilafranca.es,
"CALLE NUMANCIA 6430530 Cieza (Murcia), Murcia",630890167,info@juanandreslucas.com,
"C/ Cigueña 147012 Valladolid (Ciudad), Valladolid",983297125,info@verdeolivo.es,
"C/ Galileo Galilei 1015008 Coruña (A), A Coruña",981133498,,
"Pol. Ind. La Capellanía30600 Archena, Murcia",968671989,info@alifruit.es,
"Ctra. De Madrid-Cartagena Km 39030100 Espinardo, Murcia",968278200,info@amunoz.com,
"Camino de Iryda s/n03190 Pilar de la Horadada, Alicante",966747902,info@catmanfresh.com,
"Avda. San Francisco Javier 9, Edificio Sevilla II, Planta 6, Oficina 2641018 Sevilla (Ciudad), Sevilla",954932317,info@euroberry.com,
"Ctra. Moguer - Mazagon Km. 17. Camino Cabezo Redondo, s/n21810 Palos de la Frontera, Huelva",959101000,info@fresgarrido.es,
"Ctra. Toledo, Km 17.20028947 Fuenlabrada, Madrid",917866576,administracion@frutasesanchez.com,
"C/ VEREDA DEL POZO, 1503150 Dolores, Alicante",965726462,jose@ecofruitelguapo.com,
"Ctra. Nacional II, 2825244 Golmés, Lleida",973604170,intergolmes@intergolmes.com,
"Mayor de Mercabarna, 7608040 Barcelona (Ciudad), Barcelona",935563000,lapuente@mercabarna.cat,
"Alcalde Antonio Batista, 4621800  Moguer, Huelva",0034959373933,comercial@soloberry.es,
"Lentisco, Portal 3, Oficina 2521001 Huelva (Ciudad), Huelva",692335615,info@surberry.com,
"Ctra. N-110 Km. 37010610 Cabezuela del Valle, Cáceres",609508949,,
"Ctra. Nacional II, km 272.250100 Zaragoza (Ciudad), Zaragoza",976812240,agricolagil@agricolagil.com,
